what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1258444607484
ws,sysinfo,,,"win32",1258444607484
locale,sysinfo,,,"en_US",1258444607484
processors,sysinfo,,,"2",1258444607484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1258444607484
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1258444607484
java.specification.name,sysinfo,,,"Java Platform API Specification",1258444607484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258444607484
java.specification.version,sysinfo,,,"1.6",1258444607484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1258444607484
java.version,sysinfo,,,"1.6.0_06",1258444607484
java.vm.info,sysinfo,,,"mixed mode",1258444607484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1258444607484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1258444607484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258444607484
java.vm.specification.version,sysinfo,,,"1.0",1258444607484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1258444607484
java.vm.version,sysinfo,,,"10.0-b22",1258444607484
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1258444607921
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1258444607968
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1258444608031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258444612796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258444616171
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258444616328
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1258444616609
